4000.Invoice/Item Number,Sum(4000.Sale (Dollars)),,Sum(4000.State Bottle Cost),Sum(4000.State Bottle Retail),CountNonNull(4000.Category Name),CountNonNull(4000.County)
S07184100006,131.64,NaN,7.31,10.97,1,1
S17249200021,131.04,NaN,7.28,10.92,1,1
S28579500016,131.04,NaN,7.28,10.92,1,1
S09376600011,130.92,NaN,7.27,10.91,1,1
S14025900050,130.92,NaN,7.27,10.91,1,1
S21980100063,130.8,NaN,14.53,21.8,1,1
S07660900109,130.44,NaN,14.5,21.74,1,1
S08589700117,130.44,NaN,14.49,21.74,1,1
S09215600013,130.44,NaN,14.5,21.74,1,1
S09487800002,130.44,NaN,14.5,21.74,1,1
S10388400011,130.44,NaN,14.5,21.74,1,1
S10918000025,130.44,NaN,14.5,21.74,1,1
S19092700017,130.44,NaN,14.49,21.74,1,1
S10699400047,130,NaN,21.67,32.5,1,1
S17533900026,129.84,NaN,6.88,10.82,1,1
S05032400023,129.72,NaN,6.87,10.81,1,1
S08259400019,129.72,NaN,13.75,21.62,1,1
S27099700013,129.72,NaN,6.87,10.81,1,1
S28941400008,129.6,NaN,7.2,10.8,1,1
S12441900020,129.12,NaN,1.8,2.69,1,1
S20127100035,129.12,NaN,7.17,10.76,1,1
S20220000174,129.12,NaN,28.69,43.04,1,1
S25152400020,129.12,NaN,7.17,10.76,1,1
S27967500007,129.12,NaN,7.17,10.76,1,1
S28587900014,129.12,NaN,7.17,10.76,1,1
S14980700053,128.64,NaN,7.14,10.72,1,1
S13573300018,128.58,NaN,14.28,21.43,1,1
S03771900051,128.4,NaN,7.14,10.7,1,1
S04324800021,128.4,NaN,7.13,10.7,1,1
S08512700003,128.4,NaN,7.13,10.7,1,1
S09367000003,128.4,NaN,7.13,10.7,1,1
S12175200011,128.4,NaN,7.13,10.7,1,1
S04855600008,128.22,NaN,14.25,21.37,1,1
S16499000004,128.16,NaN,1.78,2.67,1,1
S22832200016,128.04,NaN,7.11,10.67,1,1
S23531500130,128.04,NaN,7.11,10.67,1,1
S28313900106,128.04,NaN,7.11,10.67,1,1
S07744000011,127.68,NaN,1.77,2.66,1,1
S15340200014,127.44,NaN,7.08,10.62,1,1
S17321600038,127.44,NaN,7.08,10.62,1,1
S05448500036,126.85,NaN,16.92,25.37,1,1
S27395700031,126.6,NaN,6.81,10.55,1,1
S13305700011,126.24,NaN,1.75,2.63,1,1
S13579500055,126.12,NaN,7.01,10.51,1,1
S13182300003,126,NaN,7,10.5,1,1
S14389700003,126,NaN,3.5,5.25,1,1
S20186700009,126,NaN,3.5,5.25,1,1
S20795600001,126,NaN,7,10.5,1,1
S21716600032,126,NaN,7,10.5,1,1
S21861300101,126,NaN,7,10.5,1,1
S22627500019,126,NaN,7,10.5,1,1
S22765700134,126,NaN,7,10.5,1,1
S23239000005,126,NaN,7,10.5,1,1
S23299800024,126,NaN,7,10.5,1,1
S24548600009,126,NaN,7,10.5,1,1
S25913400001,126,NaN,7,10.5,1,1
S25952700069,126,NaN,7,10.5,1,1
S26658100029,126,NaN,7,10.5,1,1
S27052600013,126,NaN,7,10.5,1,1
S27185900002,126,NaN,3.5,5.25,1,1
S05859100071,125.88,NaN,6.99,10.49,1,1
S13077500004,125.88,NaN,7,10.49,1,1
S14340400049,125.88,NaN,7,10.49,1,1
S14876200030,125.88,NaN,6.75,10.49,1,1
S16041800006,125.88,NaN,7,10.49,1,1
S16356400016,125.88,NaN,7,10.49,1,1
S17658900030,125.88,NaN,7,10.49,1,1
S18977800006,125.88,NaN,6.49,10.49,1,1
S19228400041,125.88,NaN,6.75,10.49,1,1
S24367200035,125.88,NaN,6.49,10.49,1,1
S03424600006,125.82,NaN,13.98,20.97,1,1
S03941700006,125.82,NaN,13.98,20.97,1,1
S20389300117,125.28,NaN,27.84,41.76,1,1
S11100300029,125.1,NaN,13.9,20.85,1,1
S08886800030,124.92,NaN,6.94,10.41,1,1
S16990900042,124.92,NaN,6.94,10.41,1,1
S25193300064,124.74,NaN,13.86,20.79,1,1
S09241200039,124.56,NaN,6.92,10.38,1,1
S15858400006,124.56,NaN,6.92,10.38,1,1
S23173100007,124.56,NaN,6.92,10.38,1,1
S23964800127,124.56,NaN,6.92,10.38,1,1
S26835900006,124.56,NaN,6.92,10.38,1,1
S16510900012,124.5,NaN,13.83,20.75,1,1
S04127600038,124.2,NaN,6.9,10.35,1,1
S06024500003,124.2,NaN,6.9,10.35,1,1
S09691700008,124.2,NaN,6.9,10.35,1,1
S11329900046,124.2,NaN,6.9,10.35,1,1
S18876900008,124.2,NaN,6.9,10.35,1,1
S19225100060,124.2,NaN,6.9,10.35,1,1
S19716300039,124.2,NaN,6.9,10.35,1,1
S21469400001,124.2,NaN,6.9,10.35,1,1
S24168400035,124.2,NaN,6.9,10.35,1,1
S26571100003,124.2,NaN,6.9,10.35,1,1
S26618400003,124.2,NaN,6.9,10.35,1,1
S29020700022,124.2,NaN,6.9,10.35,1,1
S29218800067,124.2,NaN,6.9,10.35,1,1
S19930700004,123.6,NaN,6.87,10.3,1,1
S19010100182,123.54,NaN,13.73,20.59,1,1
S19193100032,123,NaN,6.83,10.25,1,1
S18237400004,122.88,NaN,1.71,2.56,1,1
S16301600086,122.76,NaN,6.82,10.23,1,1
S28956000013,122.16,NaN,3.39,5.09,1,1
S15723600026,121.68,NaN,3.38,5.07,1,1
S10672600011,121.56,NaN,6.75,10.13,1,1
S14702500033,121.56,NaN,6.75,10.13,1,1
S16022200008,121.56,NaN,6.75,10.13,1,1
S16052000010,121.56,NaN,6.75,10.13,1,1
S19577400002,121.56,NaN,6.75,10.13,1,1
S20424900001,121.56,NaN,6.75,10.13,1,1
S21446600004,121.56,NaN,6.75,10.13,1,1
S21778000011,121.56,NaN,6.75,10.13,1,1
S21825000002,121.56,NaN,6.75,10.13,1,1
S25187600004,121.56,NaN,6.75,10.13,1,1
S26062100005,121.56,NaN,6.75,10.13,1,1
S26404400037,121.56,NaN,6.75,10.13,1,1
S28151800048,121.56,NaN,6.75,10.13,1,1
S13371800115,121.5,NaN,27,40.5,1,1
S18980000105,121.5,NaN,13.5,20.25,1,1
S20304800152,121.5,NaN,27,40.5,1,1
S26254600206,121.5,NaN,13.5,20.25,1,1
S26821500070,121.5,NaN,13.5,20.25,1,1
S12334900019,121.44,NaN,3.37,5.06,1,1
S17902800008,121.44,NaN,3.37,5.06,1,1
S21777100032,121.44,NaN,3.37,5.06,1,1
S25860100011,121.44,NaN,3.37,5.06,1,1
S27244600024,121.44,NaN,3.37,5.06,1,1
S23952800043,121.26,NaN,80.84,121.26,1,1
S11504700007,121.08,NaN,13.03,20.18,1,1
S28856300077,120.6,NaN,6.7,10.05,1,1
S03651700056,120.48,NaN,6.69,10.04,1,1
S15597300032,120.24,NaN,3.34,5.01,1,1
S17431600007,120.24,NaN,3.34,5.01,1,1
S22081900007,120.24,NaN,3.34,5.01,1,1
S24156600030,120.24,NaN,3.34,5.01,1,1
S05516700075,120,NaN,6.67,10,1,1
S09091900003,120,NaN,6.67,10,1,1
S15326400005,120,NaN,12.67,20,1,1
S17973900006,120,NaN,12.67,20,1,1
S04389100019,119.94,NaN,13.33,19.99,1,1
S04706000008,119.94,NaN,13.33,19.99,1,1
S22792500059,119.88,NaN,13.32,19.98,1,1
S27831100025,119.88,NaN,6.66,9.99,1,1
S05898100044,119.82,NaN,13.31,19.97,1,1
S06988000015,119.64,NaN,19.94,29.91,1,1
S12385600019,119.52,NaN,13.28,19.92,1,1
S13670200015,119.52,NaN,13.28,19.92,1,1
S20480800009,119.52,NaN,6.64,9.96,1,1
S24201700024,119.52,NaN,6.64,9.96,1,1
S21339600011,119.4,NaN,6.63,9.95,1,1
S25022400051,119.4,NaN,6.63,9.95,1,1
S27453800003,119.4,NaN,6.63,9.95,1,1
S04753100002,119.28,NaN,6.63,9.94,1,1
S04753600004,119.28,NaN,6.63,9.94,1,1
S06947800051,119.28,NaN,6.63,9.94,1,1
S15259900011,119.28,NaN,6.63,9.94,1,1
S17658400012,119.28,NaN,6.63,9.94,1,1
S08060700001,119.16,NaN,2.21,3.31,1,1
S06216900014,119.04,NaN,12.89,19.84,1,1
S06498100030,119.04,NaN,3.31,4.96,1,1
S22269000096,118.5,NaN,39.5,59.25,1,1
S22479600084,118.5,NaN,39.5,59.25,1,1
S12088100010,118.08,NaN,3.28,4.92,1,1
S19253600013,118.08,NaN,13.12,19.68,1,1
S23080100062,118.08,NaN,13.12,19.68,1,1
S23436500192,118.08,NaN,13.12,19.68,1,1
S04554600028,117.48,NaN,6.53,9.79,1,1
S06235900007,117.48,NaN,6.53,9.79,1,1
S09895200003,117.48,NaN,6.53,9.79,1,1
S09895900006,117.48,NaN,6.53,9.79,1,1
S15398000023,117.48,NaN,6.52,9.79,1,1
S29339300091,117.48,NaN,19.58,29.37,1,1
S11452000002,117.36,NaN,13.03,19.56,1,1
S05194800002,117.12,NaN,3.25,4.88,1,1
S10922800013,117.12,NaN,3.25,4.88,1,1
S04404200009,117.06,NaN,13.01,19.51,1,1
S16551500078,117,NaN,39,58.5,1,1
S18257200030,117,NaN,6.5,9.75,1,1
S23348100046,117,NaN,6.5,9.75,1,1
S24589200006,117,NaN,6.5,9.75,1,1
S28191600010,117,NaN,6.5,9.75,1,1
S29138200066,117,NaN,6.5,9.75,1,1
S16510900137,116.94,NaN,12.99,19.49,1,1
S16635100017,116.94,NaN,12.99,19.49,1,1
S17473900008,116.94,NaN,12.99,19.49,1,1
S19865700018,116.94,NaN,12.99,19.49,1,1
S04602500006,116.88,NaN,6.5,9.74,1,1
S06380400025,116.88,NaN,6.5,9.74,1,1
S06740200006,116.88,NaN,6.5,9.74,1,1
S06820600007,116.88,NaN,6.5,9.74,1,1
S07441800045,116.88,NaN,6.49,9.74,1,1
S09922700017,116.88,NaN,6.5,9.74,1,1
S10493200006,116.88,NaN,6.5,9.74,1,1
S17765500035,116.88,NaN,6.5,9.74,1,1
S17777500010,116.88,NaN,6.5,9.74,1,1
S19162400069,116.88,NaN,6.5,9.74,1,1
S20190900057,116.88,NaN,6.5,9.74,1,1
S22927800089,116.88,NaN,6.49,9.74,1,1
S23685600023,116.88,NaN,6.49,9.74,1,1
S24343200006,116.88,NaN,6.49,9.74,1,1
S28458300015,116.88,NaN,6.49,9.74,1,1
S18778600057,116.4,NaN,3.23,4.85,1,1
S10735300007,115.92,NaN,3.22,4.83,1,1
S11473800002,115.92,NaN,3.22,4.83,1,1
S21976400007,115.92,NaN,3.22,4.83,1,1
S28608300005,115.92,NaN,3.22,4.83,1,1
S15792700070,115.56,NaN,6.42,9.63,1,1
S11826200047,115.44,NaN,12.83,19.24,1,1
S13027600004,115.44,NaN,6.25,9.62,1,1
S06714900053,115.26,NaN,12.81,19.21,1,1
S03862100006,114.84,NaN,6.38,9.57,1,1
S08581500057,114.72,NaN,6.37,9.56,1,1
S16907700039,114.72,NaN,6.38,9.56,1,1
S17774200057,114.72,NaN,6.38,9.56,1,1
S08635400133,114.42,NaN,12.71,19.07,1,1
S05652200040,114.36,NaN,6.35,9.53,1,1
S06114800025,114.36,NaN,6.35,9.53,1,1
S06510100016,114.36,NaN,6.35,9.53,1,1
S21591000083,114,NaN,6.25,9.5,1,1
S21707000097,114,NaN,19,28.5,1,1
S24949100005,114,NaN,6.25,9.5,1,1
S25340300009,114,NaN,6.25,9.5,1,1
S05168400051,113.88,NaN,6.25,9.49,1,1
S08329400003,113.88,NaN,6.25,9.49,1,1
S08372100023,113.88,NaN,6.25,9.49,1,1
S11425800025,113.88,NaN,6.25,9.49,1,1
S12983700049,113.88,NaN,6.25,9.49,1,1
S13797400004,113.88,NaN,6.25,9.49,1,1
S18403100012,113.88,NaN,6.25,9.49,1,1
S19266100029,113.88,NaN,6.25,9.49,1,1
S19328500014,113.88,NaN,6.25,9.49,1,1
S15220100011,113.52,NaN,12.28,18.92,1,1
S03776000011,113.4,NaN,6.3,9.45,1,1
S04099400018,113.4,NaN,6.3,9.45,1,1
S06871500031,113.4,NaN,6.3,9.45,1,1
S08726400006,113.4,NaN,6.3,9.45,1,1
S10565800007,113.4,NaN,6.3,9.45,1,1
S11371800001,113.4,NaN,6.3,9.45,1,1
S21776400052,113.4,NaN,6.3,9.45,1,1
S22677200023,113.4,NaN,6.3,9.45,1,1
S23524000005,113.4,NaN,6.3,9.45,1,1
S23944900014,113.4,NaN,6.3,9.45,1,1
S24100400033,113.4,NaN,6.3,9.45,1,1
S24233500088,113.4,NaN,6.3,9.45,1,1
S25678000049,113.4,NaN,6.3,9.45,1,1
S29011800041,113.4,NaN,6.3,9.45,1,1
S18601200025,113.34,NaN,12.59,18.89,1,1
S26783900044,113.34,NaN,12.59,18.89,1,1
S09304800076,113.28,NaN,6.29,9.44,1,1
S14678600010,113.28,NaN,6.29,9.44,1,1
S21138900172,113.28,NaN,6.29,9.44,1,1
S05460800017,113.16,NaN,6.29,9.43,1,1
S09861000009,113.16,NaN,6.29,9.43,1,1
S17725700044,112.8,NaN,6.27,9.4,1,1
S06019700002,112.5,NaN,12.5,18.75,1,1
S07439500004,112.5,NaN,12.5,18.75,1,1
S08353200014,112.5,NaN,12.5,18.75,1,1
S08355000051,112.5,NaN,12.5,18.75,1,1
S09332000015,112.5,NaN,12.5,18.75,1,1
S11924900094,112.5,NaN,12.5,18.75,1,1
S12324500109,112.5,NaN,12.5,18.75,1,1
S15635400012,112.5,NaN,12.5,18.75,1,1
S15775100004,112.5,NaN,12.5,18.75,1,1
S15970100007,112.5,NaN,12.5,18.75,1,1
S16313000016,112.5,NaN,12.5,18.75,1,1
S17804300063,112.5,NaN,12.5,18.75,1,1
S21279800022,112.5,NaN,12.5,18.75,1,1
S22412500009,112.5,NaN,12.5,18.75,1,1
S23033500009,112.5,NaN,12.5,18.75,1,1
S14968700034,112.45,NaN,15,22.49,1,1
S13152300015,112.44,NaN,12.5,18.74,1,1
S10603400048,112.32,NaN,1.56,2.34,1,1
S20547000007,112.32,NaN,1.56,2.34,1,1
S22766000016,112.32,NaN,1.56,2.34,1,1
S26868600004,112.32,NaN,1.56,2.34,1,1
S04921600014,112.2,NaN,6.23,9.35,1,1
S23180700218,112.11,NaN,24.91,37.37,1,1
S03463300012,111.96,NaN,6.22,9.33,1,1
S11491100014,111,NaN,18.5,27.75,1,1
S17055900099,111,NaN,6,9.25,1,1
S24164900129,110.96,NaN,18.49,27.74,1,1
S29107200150,110.96,NaN,18.49,27.74,1,1
S12693100008,110.88,NaN,5.99,9.24,1,1
S16880700036,110.82,NaN,12.31,18.47,1,1
S21819600003,110.64,NaN,3.07,4.61,1,1
S25436100064,110.52,NaN,6.14,9.21,1,1
S08748300063,110.4,NaN,3.07,4.6,1,1
S09944800019,110.4,NaN,3.07,4.6,1,1
S12881500003,110.4,NaN,3.07,4.6,1,1
S15464000012,110.4,NaN,3.07,4.6,1,1
S16720100010,110.4,NaN,3.07,4.6,1,1
S24310300021,110.3,NaN,7.35,11.03,1,1
S22202200010,110.28,NaN,12.25,18.38,1,1
S11456900038,110.24,NaN,36.75,55.12,1,1
S16758800102,110.22,NaN,24.5,36.74,1,1
S07353300067,110.16,NaN,12.24,18.36,1,1
S06439100024,109.68,NaN,3.05,4.57,1,1
S07027600025,109.68,NaN,3.05,4.57,1,1
S07912800031,109.68,NaN,3.05,4.57,1,1
S14926900034,109.68,NaN,3.05,4.57,1,1
S03980400034,109.32,NaN,24.3,36.44,1,1
S05301000155,109.2,NaN,6.07,9.1,1,1
S19035500096,109,NaN,18.17,27.25,1,1
S22778800017,108.6,NaN,5.7,9.05,1,1
S24415300016,108.6,NaN,5.7,9.05,1,1
S24453400016,108.6,NaN,5.7,9.05,1,1
S09272800047,108.48,NaN,5.69,9.04,1,1
S26017400003,107.94,NaN,11.99,17.99,1,1
S16509300008,107.88,NaN,5.99,8.99,1,1
S16849500042,107.88,NaN,5.99,8.99,1,1
S14000700010,107.76,NaN,2.99,4.49,1,1
S25826700009,107.64,NaN,11.96,17.94,1,1
S12784800010,107.58,NaN,11.96,17.93,1,1
S14226100103,107.58,NaN,11.96,17.93,1,1
S15680400008,107.58,NaN,11.96,17.93,1,1
S17931800048,107.58,NaN,11.96,17.93,1,1
S20298700013,107.58,NaN,11.96,17.93,1,1
S23823400011,107.4,NaN,17.9,26.85,1,1
S27201900068,106.8,NaN,7.12,10.68,1,1
S28867800001,106.68,NaN,35.55,53.34,,1
S28868200001,106.68,NaN,35.55,53.34,,1
S28868300001,106.68,NaN,35.55,53.34,,1
S28868500001,106.68,NaN,35.55,53.34,,1
S28868700001,106.68,NaN,35.55,53.34,,1
S28869000001,106.68,NaN,35.55,53.34,,1
S28869500001,106.68,NaN,35.55,53.34,,1
S28869700001,106.68,NaN,35.55,53.34,,1
S18571700011,106.56,NaN,5.92,8.88,1,1
S20803000006,106.56,NaN,5.92,8.88,1,1
S20817300015,106.56,NaN,5.92,8.88,1,1
S23198100200,106.56,NaN,5.92,8.88,1,1
S23530800007,106.56,NaN,2.96,4.44,1,1
S27545100031,106.56,NaN,5.92,8.88,1,1
S27571500022,106.56,NaN,5.92,8.88,1,1
S22168500070,106.5,NaN,11.83,17.75,1,1
S08915200007,106.44,NaN,5.91,8.87,1,1
S15568000041,106.2,NaN,11.8,17.7,1,1
S29149800060,106.2,NaN,11.8,17.7,1,1
S06798800042,105.48,NaN,11.38,17.58,1,1
S13437000144,104.88,NaN,23.31,34.96,1,1
S13807700072,104.88,NaN,23.31,34.96,1,1
S21001400187,104.88,NaN,11.65,17.48,1,1
S28865700001,104.58,NaN,11.62,17.43,1,1
S28865800001,104.58,NaN,11.62,17.43,1,1
S28865900001,104.58,NaN,11.62,17.43,1,1
S28866800001,104.58,NaN,11.62,17.43,1,1
S29142300101,104.58,NaN,11.62,17.43,1,1
S29282800048,104.58,NaN,11.62,17.43,1,1
S23207400031,104.4,NaN,2.9,4.35,1,1
S08756100004,104.16,NaN,2.89,4.34,1,1
S18009200079,104.04,NaN,5.78,8.67,1,1
S18778600043,104.04,NaN,5.78,8.67,1,1
S20424800011,104.04,NaN,5.78,8.67,1,1
S23448300005,104.04,NaN,5.78,8.67,1,1
S24896600009,104.04,NaN,5.78,8.67,1,1
S25599800022,104.04,NaN,5.78,8.67,1,1
S21104900001,103.98,NaN,11.55,17.33,1,1
S21520800006,103.98,NaN,11.55,17.33,1,1
S22037800023,103.98,NaN,11.55,17.33,1,1
S22743400064,103.98,NaN,11.55,17.33,1,1
S27905100011,103.98,NaN,11.55,17.33,1,1
S28222000013,103.98,NaN,11.55,17.33,1,1
S03587500044,103.92,NaN,5.77,8.66,1,1
S04067900001,103.92,NaN,11.55,17.32,1,1
S04298700013,103.92,NaN,11.55,17.32,1,1
S04308000057,103.92,NaN,11.55,17.32,1,1
S05820100008,103.92,NaN,11.55,17.32,1,1
S06096900013,103.92,NaN,5.77,8.66,1,1
S06223100024,103.92,NaN,5.77,8.66,1,1
S06873600020,103.92,NaN,11.55,17.32,1,1
S11087000008,103.92,NaN,5.77,8.66,1,1
S12009200002,103.92,NaN,11.55,17.32,1,1
S12192000041,103.92,NaN,5.77,8.66,1,1
S12335800022,103.92,NaN,11.55,17.32,1,1
S13601200006,103.92,NaN,11.55,17.32,1,1
S13658100024,103.92,NaN,11.55,17.32,1,1
S13871400001,103.92,NaN,5.77,8.66,1,1
S14833300005,103.92,NaN,11.55,17.32,1,1
S15898100010,103.92,NaN,11.55,17.32,1,1
S18986200002,103.92,NaN,11.55,17.32,1,1
S16081900006,103.56,NaN,5.75,8.63,1,1
S06220400007,103.52,NaN,17.25,25.88,1,1
S27155600001,103.5,NaN,11.5,17.25,1,1
S27807300037,103.5,NaN,11.5,17.25,1,1
S27874000153,103.5,NaN,11.5,17.25,1,1
S16833700009,103.44,NaN,11.49,17.24,1,1
S29010400031,103.44,NaN,11.49,17.24,1,1
S21498700020,103.08,NaN,11.45,17.18,1,1
S14115300104,102.92,NaN,17.15,25.73,1,1
S05634300026,102.84,NaN,11.43,17.14,1,1
S07025000050,102.84,NaN,11.43,17.14,1,1
S05322900031,101.64,NaN,11.3,16.94,1,1
S07888900057,101.64,NaN,11.3,16.94,1,1
S11063600018,101.64,NaN,11.3,16.94,1,1
S21192900037,101.64,NaN,11.29,16.94,1,1
S24212700013,101.64,NaN,11.29,16.94,1,1
S29246100015,101.64,NaN,11.29,16.94,1,1
S09557900004,101.58,NaN,11.28,16.93,1,1
S13272500002,101.58,NaN,11.28,16.93,1,1
S13474100020,101.58,NaN,11.28,16.93,1,1
S14726100027,101.58,NaN,11.28,16.93,1,1
S10309300004,101.52,NaN,2.82,4.23,1,1
S06319600009,101.4,NaN,5.3,8.45,1,1
S07735900017,101.4,NaN,11.26,16.9,1,1
S12889800029,101.36,NaN,33.78,50.68,1,1
S19137200082,101.28,NaN,11.25,16.88,1,1
S25906800034,101.28,NaN,11.25,16.88,1,1
S13721600056,101.25,NaN,13.5,20.25,1,1
S11742500049,101.22,NaN,11.24,16.87,1,1
S12197300023,101.22,NaN,11.25,16.87,1,1
S24580900002,101.22,NaN,22.49,33.74,1,1
S10009400081,101.16,NaN,16.86,25.29,1,1
S23221500001,100.8,NaN,33.6,50.4,1,1
S13120600019,100.56,NaN,11.18,16.76,1,1
S19693800025,100.56,NaN,11.18,16.76,1,1
S23590000114,100.38,NaN,11.15,16.73,1,1
S25942600050,99.54,NaN,11.06,16.59,1,1
S13259400017,99.3,NaN,11.03,16.55,1,1
S23207400009,99.24,NaN,5.51,8.27,1,1
S25350400009,99.24,NaN,5.51,8.27,1,1
S18025400007,99.18,NaN,11.02,16.53,1,1
S19875200011,99.18,NaN,11.02,16.53,1,1
S22162900005,99.18,NaN,11.02,16.53,1,1
S26566400008,99.18,NaN,11.02,16.53,1,1
S27079100033,99.18,NaN,11.02,16.53,1,1
S03530700007,99.12,NaN,5.51,8.26,1,1
S03667700050,99.12,NaN,5.51,8.26,1,1
S04228600006,99.12,NaN,5.51,8.26,1,1
S04627900006,99.12,NaN,5.51,8.26,1,1
S08673700009,99.12,NaN,5.51,8.26,1,1
S09465800004,99.12,NaN,11.01,16.52,1,1
S10293800007,99.12,NaN,11.01,16.52,1,1
S16162700010,99.12,NaN,5.51,8.26,1,1
S18205200042,99.12,NaN,5.51,8.26,1,1
S20193400030,99.12,NaN,5.51,8.26,1,1
S05455300015,99,NaN,11,16.5,1,1
S06622900086,99,NaN,11,16.5,1,1
S09788600012,99,NaN,5.5,8.25,1,1
S14634000011,99,NaN,11,16.5,1,1
S18214200129,99,NaN,33,49.5,1,1
S18959900004,99,NaN,11,16.5,1,1
S20813500166,99,NaN,5.5,8.25,1,1
S21166900005,99,NaN,11,16.5,1,1
S21825900020,99,NaN,5.5,8.25,1,1
S22789700096,99,NaN,11,16.5,1,1
S26224100002,99,NaN,5.5,8.25,1,1
S26788200010,99,NaN,11,16.5,1,1
S27821600003,99,NaN,11,16.5,1,1
S28604700007,99,NaN,5.5,8.25,1,1
S28852200189,99,NaN,11,16.5,1,1
S28896000019,99,NaN,11,16.5,1,1
S17330700019,98.94,NaN,10.99,16.49,1,1
S18283700037,98.94,NaN,11,16.49,1,1
S22895500004,98.94,NaN,10.99,16.49,1,1
S22943600005,98.94,NaN,10.99,16.49,1,1
S25327100009,98.94,NaN,10.99,16.49,1,1
S27585200054,98.94,NaN,10.99,16.49,1,1
S27887300040,98.94,NaN,10.99,16.49,1,1
S28838900036,98.94,NaN,10.99,16.49,1,1
S29004900008,98.94,NaN,10.99,16.49,1,1
S04915200041,98.88,NaN,10.98,16.48,1,1
S05830700022,98.88,NaN,10.98,16.48,1,1
S08366000019,98.88,NaN,10.98,16.48,1,1
S15983300014,98.82,NaN,10.98,16.47,1,1
S16320100039,98.64,NaN,5.48,8.22,1,1
S23751400006,98.64,NaN,5.48,8.22,1,1
S24024800017,98.64,NaN,2.74,4.11,1,1
S24995500008,98.64,NaN,5.48,8.22,1,1
S27342000007,98.64,NaN,5.48,8.22,1,1
S11325600010,98.52,NaN,5.47,8.21,1,1
S05283600003,98.4,NaN,10.76,16.4,1,1
S04378400016,98.1,NaN,10.9,16.35,1,1
S04704600011,97.98,NaN,10.89,16.33,1,1
S21679800033,97.92,NaN,5.44,8.16,1,1
S22104000015,97.92,NaN,5.44,8.16,1,1
S29359900200,97.62,NaN,10.68,16.27,1,1
S15853900048,97.56,NaN,10.68,16.26,1,1
S17415800016,97.56,NaN,10.68,16.26,1,1
S28099300138,97.48,NaN,32.49,48.74,1,1
S07747100125,97.45,NaN,13,19.49,1,1
S18055100023,97.44,NaN,10.33,16.24,1,1
S26799900072,96.84,NaN,5.38,8.07,1,1
S04584000004,96.72,NaN,10.75,16.12,1,1
S10208000036,96.72,NaN,5.38,8.06,1,1
S22413200041,96.72,NaN,5.37,8.06,1,1
S12909100007,96.6,NaN,5.37,8.05,1,1
S15649400012,96.6,NaN,5.37,8.05,1,1
S06488600010,96.05,NaN,12.81,19.21,1,1
S29050700001,96,NaN,6.4,9.6,,1
S24207400035,95.98,NaN,31.99,47.99,1,1
S21611800015,95.94,NaN,10.49,15.99,1,1
S24435200011,95.94,NaN,10.49,15.99,1,1
S11173000017,95.88,NaN,10.48,15.98,1,1
S14303100008,95.88,NaN,10.48,15.98,1,1
S16488600047,95.88,NaN,5.33,7.99,1,1
S20167200008,95.64,NaN,5.31,7.97,1,1
S04458400051,95.43,NaN,21.21,31.81,1,1
S10109900008,95.4,NaN,10.26,15.9,1,1
S06787700074,94.5,NaN,10.5,15.75,1,1
S07811000015,94.5,NaN,10.5,15.75,1,1
S09962000014,94.5,NaN,10.5,15.75,1,1
S18712600010,94.5,NaN,10.5,15.75,1,1
S19529900065,94.5,NaN,10.5,15.75,1,1
S20375100107,94.5,NaN,10.5,15.75,1,1
S26553500002,94.5,NaN,10.5,15.75,1,1
S26789700047,94.5,NaN,10.5,15.75,1,1
S19585800023,94.48,NaN,31.5,47.24,1,1
S03773700026,94.44,NaN,10.49,15.74,1,1
S09510500012,94.44,NaN,10.5,15.74,1,1
S10480000039,94.44,NaN,10.49,15.74,1,1
S13080600006,94.44,NaN,10.5,15.74,1,1
S14817900001,94.44,NaN,10.5,15.74,1,1
S16108700031,94.44,NaN,5.25,7.87,1,1
S17038000066,94.44,NaN,10.5,15.74,1,1
S18646200017,94.44,NaN,10.5,15.74,1,1
S20035900006,94.44,NaN,10.5,15.74,1,1
S21667000003,94.2,NaN,5.23,7.85,1,1
S22685000007,94.2,NaN,5.23,7.85,1,1
S22845100007,94.2,NaN,5.23,7.85,1,1
S23163300046,94.2,NaN,5.23,7.85,1,1
S24542000013,94.2,NaN,5.23,7.85,1,1
S24819900004,94.2,NaN,5.23,7.85,1,1
S24998500016,94.2,NaN,5.23,7.85,1,1
S25010500014,94.2,NaN,5.23,7.85,1,1
S26189800001,94.2,NaN,5.23,7.85,1,1
S27229700013,94.2,NaN,5.23,7.85,1,1
S28677000014,94.2,NaN,5.23,7.85,1,1
S29077000007,94.2,NaN,5.23,7.85,1,1
S04679200027,94.08,NaN,5.23,7.84,1,1
S06515700010,94.08,NaN,5.23,7.84,1,1
S09874300009,94.08,NaN,5.23,7.84,1,1
S13294300005,94.08,NaN,5.23,7.84,1,1
S13998700001,94.08,NaN,5.23,7.84,1,1
S15029400021,94.08,NaN,5.23,7.84,1,1
S17512100018,94.08,NaN,5.23,7.84,1,1
S17846700008,94.08,NaN,5.23,7.84,1,1
S21301500007,94.08,NaN,10.45,15.68,1,1
S22624300008,94.08,NaN,10.45,15.68,1,1
S06051000004,94.02,NaN,10.45,15.67,1,1
S11648200025,94.02,NaN,10.45,15.67,1,1
S18040500010,94.02,NaN,10.45,15.67,1,1
S10166100013,93.78,NaN,10.42,15.63,1,1
S10582800019,93.78,NaN,10.42,15.63,1,1
